Name,Description,Link,Unit Cost in €,Quantity,Price in €,Shipping Cost,Total
R9,0603 210k 1%,https://www.lcsc.com/product-detail/C54102584.html?s_z=n_q_t_210k%25200603&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BdUlVXT1FYXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4dAgUUFAk%3D,"0,0183",20,"0,37","18,91",
R12,0603 33k ,https://www.lcsc.com/product-detail/C2075611.html?s_z=n_q_t_0603%252033k%25200.1%2525&spm=wm.fly.bg.1.xh___wm.ssy.tc.0.tz&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcUl1TRFdZXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRlNaU1NIHxUDCw%3D%3D,"0,09","5,00","0,44","18,91",
R14,0603 5.6k 0.1%,https://www.lcsc.com/product-detail/C445632.html?s_z=n_q_0603%25205.6k%25200.1%2525&spm=wm.fly.bg.1.xh&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcUVVVQ1dfXjsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slRVFZUlJXRk8GEwkK,"0,07","5,00","0,36","18,91",
R16,0603 3.3k 1%,https://www.lcsc.com/product-detail/C2907023.html?s_z=n_q_t_3.3k%25200603&spm=wm.fly.bg.0.xh___wm.ssy.tc.0.tz&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BdU1xSQVFWVDsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQ1dWUVxVWQkaCgg%3D,"0,0011",100,"0,11","18,91",
U1,TCA9548APWR,https://www.lcsc.com/product-detail/C130026.html?s_z=n_q_TCA9548APWR&spm=wm.fly.bg.0.xh&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BcUVBXR1leUTsOAxUeFF5JWBYZEEoKFBINSQcJGk4eFQsCAgIaSgADAwAHC0slQ1VbUVdUWQkaCgg%3D,"0,57","1,00","0,57","18,91",
U2,mp1584en,https://de.aliexpress.com/item/1005007196431727.html?spm=a2g0o.productlist.main.8.5489RptfRptfDv&algo_pvid=5360c05b-13d8-4095-b5fc-a3890fa62c09&algo_exp_id=5360c05b-13d8-4095-b5fc-a3890fa62c09-7&pdp_ext_f=%7B%22order%22%3A%2288%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%214.58%210.99%21%21%2135.24%217.59%21%40211b655217801340919082663e8280%2112000039768133547%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872307&curPageLogUid=jxjSNTFxpzz5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007196431727%7C_p_origin_prod%3A#nav-specification,"4,58","1,00","4,58",0,
U3,ADS1115 ,https://www.lcsc.com/product-detail/C468683.html?s_z=n_q_t_ADS1115&spm=wm.fly.bg.2.xh___wm.ssy.tc.0.tz&lcsc_vid=QVFZAl1WRFhdX1wFRQNfXgFRTlRYVQdeRABaBl0CRFAxVlNeR1BdU1FTTllfUjsOAxUeFF5JWBYZEEoKFBINSQcJGk4NBhADEA4cHktfRFNADxALGw%3D%3D,"1,43","1,00","1,43","18,91",
JST GH 1.25 Set,JST GH1.25 GH 1.25mm Connector Kit 2/3/4/5/6/7/8/9/10Pin Housing Pre-Crimped Cable Wire ,https://de.aliexpress.com/item/1005009363803762.html?spm=a2g0o.productlist.main.1.89c9yZ3myZ3mJk&algo_pvid=a77dc508-c92a-40e0-96f4-256cdcca7045&algo_exp_id=a77dc508-c92a-40e0-96f4-256cdcca7045-0&pdp_ext_f=%7B%22order%22%3A%22197%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2117.79%2111.29%21%21%2120.23%2112.84%21%40210385db17801368199318049eeb92%2112000048873892782%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000207164174&curPageLogUid=nAMXZhYGHdUi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009363803762%7C_p_origin_prod%3A&gatewayAdapt=glo2deu,"17,79","1,00","17,79",0,
XT30-F cable,XT30U Amass 1PCS Male Female Connector Plug With 16 AWG,https://de.aliexpress.com/item/1005006871265256.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.7abfV4yxV4yxRW&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=0a528056-60d7-4e69-85b9-c58807acf182&_t=gps-id%3ApcDetailTopMoreOtherSeller%2Cscm-url%3A1007.40050.354490.0%2Cpvid%3A0a528056-60d7-4e69-85b9-c58807acf182%2Ctpp_buckets%3A668%232846%238113%231998&isseo=y&pdp_ext_f=%7B%22order%22%3A%22303%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21EUR%214.73%210.99%21%21%2136.38%217.56%21%400b88ad2b17801373120808368e1179%2112000038651488362%21rec%21DE%21%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000204872307&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005006871265256%7C_p_origin_prod%3A,"4,73","1,00","4,73",0,
Cable,2 Pins Super Soft Black Red Silicone Cable,https://de.aliexpress.com/item/1005006762917521.html?spm=a2g0o.productlist.main.7.6ab0783eE5qGDB&algo_pvid=52abf0d4-8aa6-4c0a-894a-9488d757faf6&algo_exp_id=52abf0d4-8aa6-4c0a-894a-9488d757faf6-6&pdp_ext_f=%7B%22order%22%3A%22479%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2111.65%210.99%21%21%2189.67%217.61%21%40210388c917801373826241110e4c89%2112000038260362013%21sea%21DE%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d5500f9%3Bm03_new_user%3A-29895%3BpisId%3A5000000207184805&curPageLogUid=uZbdRalUVKRo&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006762917521%7C_p_origin_prod%3A,"1,08","1,00","1,08",0,
